OCC_TITLE	H_MEAN
Miscellaneous Postsecondary Teachers	*
Family and Consumer Sciences Teachers, Postsecondary	*
Recreation and Fitness Studies Teachers, Postsecondary	*
Career/Technical Education Teachers, Postsecondary	33.03
Postsecondary Teachers, All Other	*
Preschool, Elementary, Middle, Secondary, and Special Education Teachers	*
Preschool and Kindergarten Teachers	22.44
Preschool Teachers, Except Special Education	19.93
Kindergarten Teachers, Except Special Education	*
Elementary and Middle School Teachers	*
Elementary School Teachers, Except Special Education	*
Middle School Teachers, Except Special and Career/Technical Education	*
Career/Technical Education Teachers, Middle School	*
Secondary School Teachers	*
Secondary School Teachers, Except Special and Career/Technical Education	*
Career/Technical Education Teachers, Secondary School	*
Special Education Teachers	*
Special Education Teachers, Preschool	*
Special Education Teachers, Kindergarten and Elementary School	*
Special Education Teachers, Middle School	*
Special Education Teachers, Secondary School	*
Special Education Teachers, All Other	*
Other Teachers and Instructors	24.65
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	31.09
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	31.09
Self-Enrichment Teachers	25.64
Self-Enrichment Teachers	25.64
Substitute Teachers, Short-Term	21.60
Substitute Teachers, Short-Term	21.60
Tutors	22.97
Tutors	22.97
Miscellaneous Teachers and Instructors	*
Teachers and Instructors, All Other	*
Librarians, Curators, and Archivists	28.95
Archivists, Curators, and Museum Technicians	30.24
Archivists	32.51
Curators	33.68
Museum Technicians and Conservators	25.78
Librarians and Media Collections Specialists	33.26
Librarians and Media Collections Specialists	33.26
Library Technicians	20.70
Library Technicians	20.70
Other Educational Instruction and Library Occupations	*
Farm and Home Management Educators	29.07
Farm and Home Management Educators	29.07
Instructional Coordinators	37.31
Instructional Coordinators	37.31
Teaching Assistants	*
Teaching Assistants, Postsecondary	*
Teaching Assistants, Except Postsecondary	*
Miscellaneous Educational Instruction and Library Workers	26.78
Educational Instruction and Library Workers, All Other	26.78
Arts, Design, Entertainment, Sports, and Media Occupations	37.04
Art and Design Workers	32.56
Artists and Related Workers	53.25
Art Directors	61.59
Craft Artists	21.80
